link,title,price,city,square_footage,desc,bed_bath,attributes
https://orangecounty.craigslist.org/apa/d/bedroom-apartment-house-utilities/7263569306.html,>1 BEDROOM APARTMENT /HOUSE/ UTILITIES INCLUDED,"$1,490",Wilshire District Santa Ana,360ft2,"If you are reading this, the cottage is available for Rent......Private, safe, 1 bedroom small cottage in the beautiful and quiet Wilshire District of Santa Ana near Flower and Edinger.   Ceiling fan in the bedroom and living room, energy efficient air conditioner in living room, new wall furnace, full kitchen, bathroom with a shower.  There is a washer and dryer under a covered porch for you to use. , Included in the price. . .., electricity up to a fixed price, then you would help supplement the bill., a refrigerator, , water, , gas, , use of washer and dryer, Spectrum cable with over 100 channels , internet , Street parking is not a problem in this quiet, safe neighborhood.  , Available January 24 , 2021.   First month's rent, $1,490 required with a $1,200 deposit.  Month to month lease., Non Smoker. Please respect there is no smoking on the property at all, even when friends visit. The unit is 360 sq feet and small. This is a quiet property so if you like loud parties and friends over all the time, this location would not be a good choice. , Email me and include a little info about yourself, and a contact e mail or phone. Again, if you are reading this, the apt is available to move in January24, 2021, Thank you.    ",1BR / 1Ba,"house, laundry in bldg, no smoking, street parking"
https://orangecounty.craigslist.org/apa/d/huntington-beach-room-available-in-hb/7267093428.html,Room available in HB $940 including utilities Mar 1,$940,Huntington Beach,,"Looking for a roomate to fill room 2 mi from the beach, This room will be available starting March 1, Please contact me for a virtual tour of the house and if you have any questions about the room, We’re looking for $940/month for the room, this amount includes utilities, with a $940 deposit to start, Room is unfurnished, any pictures that show what room looks like with furniture are for reference, Sorry no couples or pets please    ",1BR / 1.5Ba,"house, laundry in bldg, street parking"
https://orangecounty.craigslist.org/apa/d/anaheim-private-room-awesome-pool/7267085504.html,PRIVATE ROOM.  AWESOME POOL,$780,Anaheim,,"PREFER TEXT.  NO CALLs or EMAIL PLEASE , This room is available now., We have A beautiful  PRIVATE BEDROOM.  Backyard is big and has BIG BEAUTIFUL POOL, Details of the room for rent:, * One person per room.  This room is for single occupancy only. , * Large, sliding mirror door closet , * Big windows brings in lots of light, * Hard wood floors in the bedroom, tiles and granite in the bathroom , * Tenant MUST HAVE GOOD JOB; GOOD CREDIT SCORE (680+) OR have co-signer. No exceptions . , * No Pets – some tenants are allergic to fur, Prefer M.A.L.E, Details of the house:, * FULL ACCESS to kitchen, living room, washer/dryer, * All current tenants are professional, clean, quiet, and respectful. Co-ed.  , * Owner does not live in this house.  , *  We are primarily looking for a roommate who is clean responsible and respectful of our home. , * Must be CLEAN and clean, especially in the common areas. , * Our roommate will have full house privileges:  use of kitchen and the washer and dryer. ,  * Laundry in the house, * Two large refrigerators, * Hard wood floors and granite countertops throughout the house, * Tile and Hardwood floor, new appliances., * Spacious with Open floor plan. , * Large Kitchen opens into the living area. , * Huge windows with light and bright. , * Gated community,, * Non-smoking house.  , * One year lease. , Please TEXT/call me at  show contact info,   if you are interested. NO Email please., Cross Street is State College and Sunkist  in Anaheim.  Between State College and the 57 FWY, Location Perks: minutes to Cal State Fullerton, Chapman University, UCI Medical Center, the Block at Orange (the outlet at Orange), Angel Stadium, Disneyland, MainPlace Mall, Orange Circle, , 1 minute to I-5 fwy, Minutes 57 fwy, 55 fwy, and 22 fwy    ",1BR / 1Ba,"house, w/d in unit, street parking"
https://orangecounty.craigslist.org/apa/d/san-clemente-this-home-is-located-in/7267075336.html,-／-This home is located in a quiet residential area of San Clement-／-e,"$3,800","#204 La Paloma, San Clemente, Ca",," -／-This home is located in a quiet residential area of San Clement-／-e and is just two blocks from the San Clemente Pedestrian Beach Trail, and a slightly longer walk to the beach itself. It's also just a few blocks froom Max Berg Plaza Park and from the shops and restaurants of Downtown San Clemente on Avenida Del Mar. , Email me;harryking342@outlook_com",2BR / 2Ba,"house, w/d in unit, off-street parking"
https://orangecounty.craigslist.org/apa/d/anaheim-pleasant-two-room-luxurious/7265964601.html,Pleasant Two ROOM! LUXURIOUS courtyard that guides until doorway,$620,Orange County,,"Our large 3 BR home contains PERFECTLY appointed kitchen. Main ROOM comes up with straight entry towards Your backyard separate living room, Gigantic cupboard in each rooms. TOGETHER WITH built in cabinets, as well as MOVING DISCOUNT VOUCHER. Backyard includes LARGE balcony with beautiful mountain views.Also Individually offer a CAT-FRIENDLY atmosphere.    ",4BR / 3Ba,"cats are OK - purrr, dogs are OK - wooof, house, w/d in unit, attached garage"
https://orangecounty.craigslist.org/apa/d/lake-forest-lake-forest-irvine-master/7267059080.html,LAKE FOREST/IRVINE-MASTER SUITE-FURNISHED-REMODELED,"$1,100",Lake Forest,1000ft2,"This property is completely newly remodeled master suite with your own private bathroom and washroom in a large house  on the border of Irvine and Lake Forest in OC's best-known, quiet, pleasant, safe, clean, scenic community. It's close by Irvine Business Park, Lake and Lake Forest Business Park, only a few minute drive to Irvine Spectrum, Costco, OC Airport, Irvine Railroad Station, Broadcom, 99 Ranch Market and malls; 15-minute drive to UCI, Irvine Valley College and Saddleback College; and fast access to FWY5, FWY405 and FWY240. Walking distance to the gym/fitness center and award winning schools., This master suite is newly remodeled with granite topped vanity, new mirror and lighting, shower-room, toilet, crown molding etc. Brand new kitchen, appliances /washer/dryer, plus simple furniture and utilities. Parking is very spacious and safe in this enclosed community street! NO smoking, drugs, alcohol, parties or pets please due to allergy. TEXT, Email or Call 949-five three two-8035 to leave name and phone number for viewing appointment if you are AN interested responsible, respectful, clean, easy-going and quiet professional / individual. Thx!    ",1BR / 1Ba,"furnished, house, laundry in bldg, off-street parking"
https://orangecounty.craigslist.org/apa/d/lake-forest-lake-forest-irvine-master/7267058913.html,LAKE FOREST/IRVINE-MASTER SUITE-FURNISHED-REMODELED,"$1,100",Lake Forest,1000ft2,"This property is completely newly remodeled master suite with your own private bathroom and washroom in a large house  on the border of Irvine and Lake Forest in OC's best-known, quiet, pleasant, safe, clean, scenic community. It's close by Irvine Business Park, Lake and Lake Forest Business Park, only a few minute drive to Irvine Spectrum, Costco, OC Airport, Irvine Railroad Station, Broadcom, 99 Ranch Market and malls; 15-minute drive to UCI, Irvine Valley College and Saddleback College; and fast access to FWY5, FWY405 and FWY240. Walking distance to the gym/fitness center and award winning schools., This master suite is newly remodeled with granite topped vanity, new mirror and lighting, shower-room, toilet, crown molding etc. Brand new kitchen, appliances /washer/dryer, plus simple furniture and utilities. Parking is very spacious and safe in this enclosed community street! NO smoking, drugs, alcohol, parties or pets please due to allergy. TEXT, Email or Call 949-five three two-8035 to leave name and phone number for viewing appointment if you are AN interested responsible, respectful, clean, easy-going and quiet professional / individual. Thx!    ",1BR / 1Ba,"furnished, house, laundry in bldg, off-street parking"
https://orangecounty.craigslist.org/apa/d/lake-forest-lake-forest-irvine-master/7267058743.html,LAKE FOREST/IRVINE-MASTER SUITE-FURNISHED-REMODELED,"$1,100",Lake Forest,1000ft2,"This property is completely newly remodeled master suite with your own private bathroom and washroom in a large house  on the border of Irvine and Lake Forest in OC's best-known, quiet, pleasant, safe, clean, scenic community. It's close by Irvine Business Park, Lake and Lake Forest Business Park, only a few minute drive to Irvine Spectrum, Costco, OC Airport, Irvine Railroad Station, Broadcom, 99 Ranch Market and malls; 15-minute drive to UCI, Irvine Valley College and Saddleback College; and fast access to FWY5, FWY405 and FWY240. Walking distance to the gym/fitness center and award winning schools., This master suite is newly remodeled with granite topped vanity, new mirror and lighting, shower-room, toilet, crown molding etc. Brand new kitchen, appliances /washer/dryer, plus simple furniture and utilities. Parking is very spacious and safe in this enclosed community street! NO smoking, drugs, alcohol, parties or pets please due to allergy. TEXT, Email or Call 949-five three two-8035 to leave name and phone number for viewing appointment if you are AN interested responsible, respectful, clean, easy-going and quiet professional / individual. Thx!    ",1BR / 1Ba,"furnished, house, laundry in bldg, off-street parking"
https://orangecounty.craigslist.org/apa/d/lake-forest-lake-forest-irvine-master/7267058591.html,LAKE FOREST/IRVINE-MASTER SUITE-FURNISHED-REMODELED,"$1,100",Lake Forest,1000ft2,"This property is completely newly remodeled master suite with your own private bathroom and washroom in a large house  on the border of Irvine and Lake Forest in OC's best-known, quiet, pleasant, safe, clean, scenic community. It's close by Irvine Business Park, Lake and Lake Forest Business Park, only a few minute drive to Irvine Spectrum, Costco, OC Airport, Irvine Railroad Station, Broadcom, 99 Ranch Market and malls; 15-minute drive to UCI, Irvine Valley College and Saddleback College; and fast access to FWY5, FWY405 and FWY240. Walking distance to the gym/fitness center and award winning schools., This master suite is newly remodeled with granite topped vanity, new mirror and lighting, shower-room, toilet, crown molding etc. Brand new kitchen, appliances /washer/dryer, plus simple furniture and utilities. Parking is very spacious and safe in this enclosed community street! NO smoking, drugs, alcohol, parties or pets please due to allergy. TEXT, Email or Call 949-five three two-8035 to leave name and phone number for viewing appointment if you are AN interested responsible, respectful, clean, easy-going and quiet professional / individual. Thx!    ",1BR / 1Ba,"furnished, house, laundry in bldg, off-street parking"
https://orangecounty.craigslist.org/apa/d/lake-forest-lake-forest-irvine-master/7267058442.html,LAKE FOREST/IRVINE-MASTER SUITE-FURNISHED-REMODELED,"$1,100",Lake Forest,1000ft2,"This property is completely newly remodeled master suite with your own private bathroom and washroom in a large house  on the border of Irvine and Lake Forest in OC's best-known, quiet, pleasant, safe, clean, scenic community. It's close by Irvine Business Park, Lake and Lake Forest Business Park, only a few minute drive to Irvine Spectrum, Costco, OC Airport, Irvine Railroad Station, Broadcom, 99 Ranch Market and malls; 15-minute drive to UCI, Irvine Valley College and Saddleback College; and fast access to FWY5, FWY405 and FWY240. Walking distance to the gym/fitness center and award winning schools., This master suite is newly remodeled with granite topped vanity, new mirror and lighting, shower-room, toilet, crown molding etc. Brand new kitchen, appliances /washer/dryer, plus simple furniture and utilities. Parking is very spacious and safe in this enclosed community street! NO smoking, drugs, alcohol, parties or pets please due to allergy. TEXT, Email or Call 949-five three two-8035 to leave name and phone number for viewing appointment if you are AN interested responsible, respectful, clean, easy-going and quiet professional / individual. Thx!    ",1BR / 1Ba,"furnished, house, laundry in bldg, off-street parking"
https://orangecounty.craigslist.org/apa/d/irvine-classic-modernized-house-bhk/7262185527.html,Classic & Modernized house/ 3 BHK READY,$640,Orange County,,"Extraordinary 2 bedroom Property which features the Recently renovated Kitchenette with stainless steel appliances large basement ideas lovely TERRACE & BEAUTIFUL Front room.Individually sense not only you but also your family deserve supreme in living, and your home will be designed especially towards confirm your satisfaction!    ",3BR / 2Ba,"house, w/d hookups, street parking"
https://orangecounty.craigslist.org/apa/d/brea-private-room-with-bathroom-house/7266952801.html,Private room with bathroom house in Buena Park.,$495,Tustin,,"Private room with private bathroom, and separate entrance from the main house in Buena Park..The house is in a quiet & safe neighborhood .The room is rented for $495/ Month for one person., The Security Deposit is $400., Lease Contract: First 3 months, Month to Month After., Looking for person, who is CLEAN, RESPONSIBLE, and RESPECTFUL of other household members., No smoking, No drugs, No pet, No parties, & overnight guest limited., Proof of income is required., Located near 5 freeway, 91 freeway, Amerige Heights Town Center, & Ralph B Clark Park., Utilities and internet are included., Further amenities include kitchen use, refrigerator, attached garage, washer/dryer and patio., Laundry on site., If interested must add your email and phone when you reply.",1BR / 1Ba,"furnished, house, laundry on site, street parking, rent period: monthly"
https://orangecounty.craigslist.org/apa/d/tustin-gorgeous-spacious-end-unit/7266905739.html,Gorgeous & spacious end-unit townhouse!,"$3,210",Tustin,1838ft2,"Gorgeous & spacious end-unit townhouse! Nice spot, really convenient toMarket Place, grocery stores, parks, and community pool, off. Fresh color, fairly new carpet, shutters for plantations, molding of crowns, stainless appliances, organizers for closets. Sorry, no domestic animals. For more info, Contact us now! Don't miss it and make it yours!PropID.26027LJ, Best DEAL , Schedule a Tour today!, Call  show contact info, )    ",3BR / 2Ba,"house, w/d in unit, carport"
https://orangecounty.craigslist.org/apa/d/costa-mesa-bedroom-bathroom/7264283580.html,2 bedroom 1 bathroom,"$2,050",Costa Mesa,900ft2,"2 bedroom  1 bathroom  , large kitchen , lots  of closet space front yard is enclosed,  covered patio,washer dryer in unit. central heater. rent is $2050 per month plus  $150 utilities , available  .    ",2BR / 1Ba,"flooring: tile, house, w/d in unit, street parking, rent period: monthly"
https://orangecounty.craigslist.org/apa/d/laguna-beach-7he-actual-square-footage/7266865888.html,7he actual square footage.,"$1,542",Laguna Beach,,"Located on a tranquil street in Laguna Canyon, this beautiful light and bright home has been lovingly updated yet still retains the quintessential classic cottage charm. With hardwood floors throughout, high open beamed ceilings in some rooms and multiple doors with paned glass windows that let in abundant natural light and make indoor/outdoor living easy, this home feels larger than the actual square footage. The kitchen has been updated with butcher block and white tile countertops, a dishwasher and offers plenty of counter space. The spacious living room has a door that leads to the private patio and yard. Bathroom has also been updated and there is an indoor laundry room. Closet space is not an issue with a walk in closet plus 3 other closets. Fully fenced lot is very private and lush including 3 brick patios plus a large yard. The detached garage also features the high open beamed ceilings. Fantastic location that is just a short stroll to the beach, festivals, shops, art galleries & restaurants and offers quick access to travel corridors in all directions.    ",1BR / 1Ba,"cats are OK - purrr, dogs are OK - wooof, furnished, house, laundry in bldg, attached garage"
https://orangecounty.craigslist.org/apa/d/orange-single-family-home-for-rent1118/7266842270.html,Single family home for rent#1118 E Trenton Ave,"$1,400",Orange,1900ft2,"Renovated single family house in the upper-scale neighborhood of orange. Easy access to 55 and 22 freeways. Large front yard and backyard with large sun room attached to the dining area as bonus living room. The whole house has hard floor and each of the 3 rooms gets a lot of natural light. Double sided chimney will make it cozy house in chilling nights while central heating/cooling system is also available. , show contact info",3BR / 2Ba,"cats are OK - purrr, dogs are OK - wooof, flooring: wood, house, w/d in unit, no smoking, detached garage, rent period: yearly"
https://orangecounty.craigslist.org/apa/d/irvine-would-you-rather-buy-then-rent/7261479501.html,Would you rather buy then rent,"$3,000",Irvine/Orange County,,"Would like to buy but don't have the down payment. New loan programs offering 100% financing.  Min. Fico Score 680.  Available for homes up to $765K, If own a home you create wealth, renting creates wealth also but its your landlord that reaps the benefits. , Give me a call maybe you are not ready to own yet. but we maybe able to put a plan together that you can buy in the future. , Norbert Rose/Realtor  DRE 00972342    ",3BR / 2Ba,"house, w/d in unit, attached garage"
https://orangecounty.craigslist.org/apa/d/anaheim-private-room-awesome-pool/7266809607.html,PRIVATE ROOM.  AWESOME POOL,$780,Anaheim,,"PREFER TEXT.  NO CALLs or EMAIL PLEASE , This room is available now., We have A beautiful  PRIVATE BEDROOM.  Backyard is big and has BIG BEAUTIFUL POOL, Details of the room for rent:, * One person per room.  This room is for single occupancy only. , * Large, sliding mirror door closet , * Big windows brings in lots of light, * Hard wood floors in the bedroom, tiles and granite in the bathroom , * Tenant MUST HAVE GOOD JOB; GOOD CREDIT SCORE (680+) OR have co-signer. No exceptions . , * No Pets – some tenants are allergic to fur, Prefer M.A.L.E, Details of the house:, * FULL ACCESS to kitchen, living room, washer/dryer, * All current tenants are professional, clean, quiet, and respectful. Co-ed.  , * Owner does not live in this house.  , *  We are primarily looking for a roommate who is clean responsible and respectful of our home. , * Must be CLEAN and clean, especially in the common areas. , * Our roommate will have full house privileges:  use of kitchen and the washer and dryer. ,  * Laundry in the house, * Two large refrigerators, * Hard wood floors and granite countertops throughout the house, * Tile and Hardwood floor, new appliances., * Spacious with Open floor plan. , * Large Kitchen opens into the living area. , * Huge windows with light and bright. , * Gated community,, * Non-smoking house.  , * One year lease. , Please TEXT/call me at  show contact info,   if you are interested. NO Email please., Cross Street is State College and Sunkist  in Anaheim.  Between State College and the 57 FWY, Location Perks: minutes to Cal State Fullerton, Chapman University, UCI Medical Center, the Block at Orange (the outlet at Orange), Angel Stadium, Disneyland, MainPlace Mall, Orange Circle, , 1 minute to I-5 fwy, Minutes 57 fwy, 55 fwy, and 22 fwy    ",1BR / 1Ba,"house, w/d in unit, street parking"
https://orangecounty.craigslist.org/apa/d/bedroom-apartment-house-utilities/7263064718.html,>1 BEDROOM APARTMENT /HOUSE/ UTILITIES INCLUDED,"$1,490",Wilshire District Santa Ana,360ft2,"If you are reading this, the cottage is available for Rent......Private, safe, 1 bedroom small cottage in the beautiful and quiet Wilshire District of Santa Ana near Flower and Edinger.   Ceiling fan in the bedroom and living room, energy efficient air conditioner in living room, new wall furnace, full kitchen, bathroom with a shower.  There is a washer and dryer under a covered porch for you to use. , Included in the price. . .., electricity up to a fixed price, then you would help supplement the bill., a refrigerator, , water, , gas, , use of washer and dryer, Spectrum cable with over 100 channels , internet , Street parking is not a problem in this quiet, safe neighborhood.  , Available January 24 , 2021.   First month's rent, $1,490 required with a $1,200 deposit.  Month to month lease., Non Smoker. Please respect there is no smoking on the property at all, even when friends visit. The unit is 360 sq feet. This is a quiet property so if you like loud parties and friends over all the time, this location would not be a good choice. , Email me and include a little info about yourself and a contact e mail or phone. Again, if you are reading this, the apt is available to move in on January 24, 2021., Thank you.    ",1BR / 1Ba,"house, laundry in bldg, no smoking, street parking"
