link,bbfrodo,price
https://orangecounty.craigslist.org/apa/d/anaheim-large-house-3-bdr/7229325867.html,Large house w/ 3 bdr,"$2,700"
https://orangecounty.craigslist.org/apa/d/lake-forest-lake-forest-irvine-master/7229340669.html,LAKE FOREST/IRVINE-MASTER SUITE-FURNISHED-REMODELED,"$1,200"
https://orangecounty.craigslist.org/apa/d/los-alamitos-lovely-2bd-1ba-house-yard/7225092430.html,"Lovely 2bd 1ba House w/yard, carport & laundry hkups","$2,050"
https://orangecounty.craigslist.org/apa/d/fourchu-beautiful-2bd-1ba-rear-house/7225091356.html,"Beautiful 2bd 1ba rear House w/patio, garage & lndry hkups","$2,350"
https://orangecounty.craigslist.org/apa/d/orange-scam-alert-rto-ads-are-scam/7229321088.html,****SCAM ALERT RTO ADS ARE A SCAM****,$0
https://orangecounty.craigslist.org/apa/d/furnished-room-in-santa-ana/7229320832.html,Furnished Room in Santa Ana,"$1,000"
https://orangecounty.craigslist.org/apa/d/garden-grove-this-ad-is-total-scam/7229318838.html,THIS AD IS A TOTAL SCAM!!!!!!!!!!!!,$0
https://orangecounty.craigslist.org/apa/d/anaheim-bedroom-15bth-pet-friendly/7229237715.html,3 bedroom 1.5bth Pet friendly,"$1,125"
https://orangecounty.craigslist.org/apa/d/foothill-ranch-magnificient-bedroomtwo/7227948010.html,"MAGNIFICIENT 3 bedroomTWO bathroom, one-level house!",$692
https://orangecounty.craigslist.org/apa/d/buena-park-newly-remodel-bed-bath-large/7222785339.html,@@@newly remodel 1 bed/1 bath large Bouns room,"$1,700"
https://orangecounty.craigslist.org/apa/d/santa-ana-housing-needed-will-provide/7229234341.html,HOUSING NEEDED! Will Provide Proof of Income,"$1,000"
https://orangecounty.craigslist.org/apa/d/anaheim-1bd-1ba-guest-house-studio/7226472720.html,1BD/1BA Guest House Studio utilities covered,"$1,500"
https://orangecounty.craigslist.org/apa/d/irvine-the-matchless-union-in-regard-to/7227943986.html,The matchless union in regard to flair as well as consolation! QUICK.!,$546
https://orangecounty.craigslist.org/apa/d/irvine-the-matchless-blend-connected/7227949004.html,The matchless blend connected with grace and luxury! INVITING YOU!!!!!,$687
https://orangecounty.craigslist.org/apa/d/santa-ana-house-for-rent/7229243494.html,House for Rent,"$1,800"
https://orangecounty.craigslist.org/apa/d/irvine-beautiful-throughly-furnished/7227954298.html,Beautiful Throughly furnished TWO rooms home terrace/ car parking,$509
https://orangecounty.craigslist.org/apa/d/newport-beach-spectacular-story-home/7229233392.html,Spectacular 2 story home!,"$6,500"
https://orangecounty.craigslist.org/apa/d/garden-grove-big-beautiful-charming/7229213283.html,BIG BEAUTIFUL CHARMING SUITE (ROOM W/ PRIVATE BATH)..  GATED COMMUNITY,$995
https://orangecounty.craigslist.org/apa/d/newport-beach-bedroom-gorgeous-home/7229220878.html,3 Bedroom Gorgeous Home!!,"$6,500"
https://orangecounty.craigslist.org/apa/d/newport-beach-story-home-for-rent-with/7229214765.html,2 Story Home for Rent! With Back Bay View!,"$6,500"
https://orangecounty.craigslist.org/apa/d/los-alamitos-lovely-middle-2bd-1ba/7222478637.html,"Lovely Middle 2bd 1ba House w/yard, lndry hkup and carport","$2,050"
https://orangecounty.craigslist.org/apa/d/newport-beach-beautiful-story-home/7217879921.html,Beautiful 2 story home available!,"$6,500"
https://orangecounty.craigslist.org/apa/d/anaheim-well-maintained-home-by-the/7227349372.html,Well maintained home by the same owner since 1957,"$2,000"
https://orangecounty.craigslist.org/apa/d/anaheim-open-house-tomorrow-nov-12pm/7227349376.html,Open house Tomorrow 8 Nov 12pm Rent $2000,"$2,000"
https://orangecounty.craigslist.org/apa/d/anaheim-this-mid-century-modern-home/7227349392.html,This mid century modern home,"$2,000"
https://orangecounty.craigslist.org/apa/d/anaheim-bedroom-house/7229162698.html,2 Bedroom House,"$2,100"
https://orangecounty.craigslist.org/apa/d/sonora-big-house-with-possible-inlaw/7229156996.html,"Big House with possible - inlaw quarters. $1,800.","$1,800"
https://orangecounty.craigslist.org/apa/d/orange-big-beautiful-charming-suite/7229118172.html,BIG BEAUTIFUL CHARMING SUITE (ROOM W/ PRIVATE BATH).. GATED COMMUNITY,$995
https://orangecounty.craigslist.org/apa/d/garden-grove-beautiful-single-family/7229059106.html,Beautiful single family home,"$2,800"
https://orangecounty.craigslist.org/apa/d/laguna-beach-light-bright-fully/7229074194.html,Light & bright fully furnished cottage at Victoria Beach loo,"$8,500"
https://orangecounty.craigslist.org/apa/d/irvine-hurry-up-bhk-equipped-with-deck/7229039834.html,HURRY UP!!!!! 2 BHK EQUIPPED With DECK,$619
https://orangecounty.craigslist.org/apa/d/irvine-5-bedrm-new-park/7221063386.html,4-5 bedrm . New park,$614
https://orangecounty.craigslist.org/apa/d/irvine-tremendous-bedroom-bathroommove/7229006542.html,TREMENDOUS 2 Bedroom/ 2 Bathroom.!MOVE IN TODAY,$558
https://orangecounty.craigslist.org/apa/d/move-in-bedroom-set-along-balcony/7229007459.html,Move in.! 3 Bedroom SET Along BALCONY,$585
https://orangecounty.craigslist.org/apa/d/bellflower-bellflower-family-home/7227542787.html,Bellflower Family Home,"$2,900"
https://orangecounty.craigslist.org/apa/d/santa-ana-santa-ana-downtown-house/7219718146.html,Santa Ana Downtown House,"$3,950"
https://orangecounty.craigslist.org/apa/d/irvine-fall-in-love-with-our-stylish/7227826449.html,Fall in love with Our STYLISH THREE Bedroom/ Bathroom House.!,$631
https://orangecounty.craigslist.org/apa/d/garden-grove-beautiful-bedrooms-and/7228970926.html,Beautiful 3 Bedrooms and 2 Baths. 1231 sq ft home sit on a 7200 sq ft,$800
https://orangecounty.craigslist.org/apa/d/garden-grove-brookshire-ave-garden/7228970835.html,"11671 Brookshire Ave, Garden Grove, CA 92840",$800
https://orangecounty.craigslist.org/apa/d/costa-mesa-master-suite-furnished/7226268543.html,"MASTER SUITE furnished, w/ walkin closet,bathroom w/jacuzzi,priv entry","$1,425"
https://orangecounty.craigslist.org/apa/d/buena-park-bedroom-available/7227348844.html,Bedroom available,$680
https://orangecounty.craigslist.org/apa/d/whittier-excellent-large-bedroom-house/7225971467.html,Excellent large 2 bedroom house,"$1,850"
https://orangecounty.craigslist.org/apa/d/indio-newdesert-home-on-golf-course/7224822875.html,"NewDesert home on golf course , 3 Bdrm, upgraded , great room","$2,350"
https://orangecounty.craigslist.org/apa/d/lake-forest-you-wont-want-to-miss-this/7228905028.html,You wont want to miss this amazing home and Move-in before the holiday,"$2,000"
https://orangecounty.craigslist.org/apa/d/mission-viejo-upgraded-bedroom-pet/7216878899.html,🏠 Upgraded 4-Bedroom Pet-Friendly Home w/Yard! +Lake Privileges   ;-),"$3,650"
https://orangecounty.craigslist.org/apa/d/anaheim-bath-detached-house/7227662625.html,&1 bath detached house,"$2,100"
https://orangecounty.craigslist.org/apa/d/irvine-tremendous-bhk-toilethurry-up/7228854359.html,TREMENDOUS 3 BHK/ 2 TOILET.HURRY UP,$654
https://orangecounty.craigslist.org/apa/d/anaheim-wonderful-overtune-two-bedroom/7228881300.html,WONDERFUL OVERTUNE.. TWO Bedroom TO HIRE,$718
https://orangecounty.craigslist.org/apa/d/irvine-searching-animal-friendly/7228855084.html,Searching a Animal-friendly HOUSE?Call now,$523
https://orangecounty.craigslist.org/apa/d/irvine-unbelievable-proposal-br-for/7228874066.html,UNBELIEVABLE PROPOSAL!! 3 BR FOR LEASE,$672
https://orangecounty.craigslist.org/apa/d/anaheim-get-ready-br-equipped-along-deck/7228842642.html,GET READY!! 2 BR EQUIPPED Along DECK,$504
https://orangecounty.craigslist.org/apa/d/irvine-3brdm-baththe-very-best-deal/7224135052.html,3brdm 1 bath!THE VERY BEST DEAL!,$574
https://orangecounty.craigslist.org/apa/d/whittier-cozy-remodeled-studio/7224979940.html,COZY/ REMODELED STUDIO,$895
https://orangecounty.craigslist.org/apa/d/laguna-beach-ocean-front-beach-front/7228833027.html,OCEAN FRONT/BEACH FRONT LAGUNITA Furnished,"$15,000"
https://orangecounty.craigslist.org/apa/d/irvine-luxury-suitable-two-br-together/7226422634.html,LUXURY & SUITABLE TWO BR Together with Attached BA.,$588
https://orangecounty.craigslist.org/apa/d/dana-point-exceptional-opportunity-in/7227662010.html,Exceptional Opportunity In Monarch Beach,"$4,450"
https://orangecounty.craigslist.org/apa/d/la-mirada-br-ft2-bedroom-for-rent-near/7223885346.html,$3200/ 4br - 1500ft2 - 4 BEDROOM FOR RENT NEAR BIOLA! (LA MIRADA),"$3,200"
https://orangecounty.craigslist.org/apa/d/los-alamitos-great-middle-house-yard/7221939859.html,"Great middle House w/yard, carport & lndry hkups","$2,050"
https://orangecounty.craigslist.org/apa/d/foothill-ranch-comfortable-along-with/7228740409.html,Comfortable ALONG WITH Affordable...!!!! TWO Bedroom/ THREE TOILET,$579
https://orangecounty.craigslist.org/apa/d/foothill-ranch-amazing-brtwo/7226317033.html,"AMAZING!!!!! 3 BR,TWO RESTROOM,1500-sf",$594
https://orangecounty.craigslist.org/apa/d/irvine-bedroom-restroom-balcony-sf-roof/7226318054.html,5 Bedroom/ 2 RESTROOM/ Balcony/9-SF ROOF,$594
https://orangecounty.craigslist.org/apa/d/irvine-room-two-restroom-balcony9-sf/7226317577.html,"5 ROOM/ TWO RESTROOM, Balcony,9-SF Ceiling",$601
https://orangecounty.craigslist.org/apa/d/anaheim-brand-new-furnace/7228660174.html,{~~Brand new furnace!!},$745
https://orangecounty.craigslist.org/apa/d/irvine-excellently-modernished-room/7228643456.html,3 EXCELLENTLY MODERNISHED ROOM ALONG WITH ONE Second BA!! RUSH,$586
https://orangecounty.craigslist.org/apa/d/huntington-beach-dream-home/7212719311.html,DREAM HOME,"$9,000"
https://orangecounty.craigslist.org/apa/d/irvine-beatiful-home/7213561590.html,BEATIFUL HOME,"$4,575"
https://orangecounty.craigslist.org/apa/d/irvine-perffect-home/7213563530.html,PERFFECT HOME,"$4,600"
https://orangecounty.craigslist.org/apa/d/anaheim-beautiful-home/7212732294.html,BEAUTIFUL HOME,"$7,000"
https://orangecounty.craigslist.org/apa/d/sunset-beach-dream-harbor-home/7212712154.html,DREAM HARBOR HOME,"$7,000"
https://orangecounty.craigslist.org/apa/d/corona-del-mar-beautiful-home/7213999536.html,BEAUTIFUL HOME,"$9,000"
https://orangecounty.craigslist.org/apa/d/foothill-ranch-beautiful-condo/7214037890.html,BEAUTIFUL CONDO,"$5,500"
https://orangecounty.craigslist.org/apa/d/irvine-perfect-home/7214013749.html,PERFECT HOME,"$5,000"
https://orangecounty.craigslist.org/apa/d/corona-del-mar-gorgeous-home/7214010135.html,GORGEOUS HOME,"$15,000"
https://orangecounty.craigslist.org/apa/d/foothill-ranch-perfect-family-home/7214019169.html,PERFECT FAMILY HOME,"$4,100"
https://orangecounty.craigslist.org/apa/d/corona-del-mar-nice-home/7213995831.html,NICE HOME,"$6,500"
https://orangecounty.craigslist.org/apa/d/foothill-ranch-beautiful-condo/7214026217.html,BEAUTIFUL CONDO,"$4,100"
https://orangecounty.craigslist.org/apa/d/santa-ana-home-for-rent/7228648245.html,Home for rent,"$1,800"
https://orangecounty.craigslist.org/apa/d/la-palma-fantastic-bedroom-cypress-home/7228634613.html,Fantastic 2 Bedroom Cypress Home For Lease!,"$2,295"
https://orangecounty.craigslist.org/apa/d/irvine-stunning-proposal-bedroom-for/7228534105.html,STUNNING PROPOSAL.! 3 Bedroom FOR LEASE,$632
https://orangecounty.craigslist.org/apa/d/cerritos-bed-bath-beautiful-home/7225137666.html,3 Bed 2 bath Beautiful home,"$3,200"
https://orangecounty.craigslist.org/apa/d/anaheim-nice-upgraded-1br-1ba-guest/7225484521.html,Nice Upgraded 1BR/1BA Guest House Include Utilities,"$1,500"
https://orangecounty.craigslist.org/apa/d/orange-newly-updated-bedroom-bath-home/7228583029.html,Newly updated 2 bedroom 1 bath home in the heart of Orange,"$2,000"
https://orangecounty.craigslist.org/apa/d/dana-point-free-list-dana-point-rentals/7219526902.html,FREE LIST - Dana Point Rentals,"$2,500"
https://orangecounty.craigslist.org/apa/d/newport-beach-bed-35-bath-large-newport/7218393389.html,4 Bed/3.5 Bath LARGE Newport Beach Home Ocean View,"$6,950"
https://orangecounty.craigslist.org/apa/d/santa-ana-all-the-comforts-of-home-1br/7225535770.html,All the comforts of Home  1br house  fireplace,"$1,950"
https://orangecounty.craigslist.org/apa/d/irvine-we-welcoming-your-family-to-our/7228480281.html,We welcoming your family to our new house.8-SQ.FT Ceiling!,$515
https://orangecounty.craigslist.org/apa/d/orange-orange-have-stunning-4br-for-rent/7224813996.html,Orange have a Stunning 4br for Rent,"$3,800"
https://orangecounty.craigslist.org/apa/d/santa-ana-four-bedroom-house-with-garage/7228458409.html,Four bedroom house with garage,"$2,900"
https://orangecounty.craigslist.org/apa/d/tustin-four-bedroom-house-with-hot-pool/7228443651.html,Four bedroom house with hot pool,"$4,100"
https://orangecounty.craigslist.org/apa/d/newport-beach-stop-paying-rent-and-buy/7220924508.html,Stop Paying Rent and Buy Now,"$1,800"
https://orangecounty.craigslist.org/apa/d/irvine-three-room-two-toilet-balcony9/7228410210.html,"THREE ROOM, TWO TOILET Balcony,9-SF Ceiling",$551
https://orangecounty.craigslist.org/apa/d/irvine-amazing-bedroom3-ba1250sqft/7228410056.html,"AMAZING!! 2 Bedroom,3 BA,1250SQ.FT",$535
https://orangecounty.craigslist.org/apa/d/orange-beautiful-single-story-home-on/7217737773.html,Beautiful Single-Story Home on Large 10k sqft corner lot in Cul de Sac,"$1,590"
https://orangecounty.craigslist.org/apa/d/irvine-beautiful-home-at-convenient/7221570244.html,Beautiful Home at a Convenient Place! Dial!!!,$621
https://orangecounty.craigslist.org/apa/d/long-beach-casita-in-bedroom-bathroom/7228390713.html,Casita in 3 bedroom 2 bathroom house,"$1,350"
https://orangecounty.craigslist.org/apa/d/foothill-ranch-charming-townhouse-ready/7222680897.html,Charming Townhouse ready to move to be now 4-5BEDROOM 1BATHROOM,$560
https://orangecounty.craigslist.org/apa/d/foothill-ranch-sweet-family-home/7222645543.html,Sweet Family home available for lease CHEAP 2BDRM 1BATH,$650
https://orangecounty.craigslist.org/apa/d/anaheim-4bd-home-perf-location-flexible/7228334934.html,"4bd home - perf location, flexible lease, washer & dryer + central A/C","$2,450"
https://orangecounty.craigslist.org/apa/d/laguna-beach-ocean-view-victoria-beach/7228281428.html,OCEAN VIEW Victoria Beach BEAUTY,"$5,500"
https://orangecounty.craigslist.org/apa/d/foothill-ranch-master-bedroom/7228246566.html,Master bedroom,"$1,400"
https://orangecounty.craigslist.org/apa/d/la-quinta-epic-saltwater-pebble-tec/7228252609.html,Epic Saltwater Pebble Tec Pool Home Lower Cove,"$5,500"
https://orangecounty.craigslist.org/apa/d/yorba-linda-single-story-home-in-the/7228134027.html,@@*****single story home in the community of Yorba Linda!!!,"$1,300"
https://orangecounty.craigslist.org/apa/d/buena-park-dont-miss-out-on-this-move/7228094192.html,Don't miss out on this move-in ready home.,"$1,279"
https://orangecounty.craigslist.org/apa/d/laguna-niguel-must-see-large-pool-home/7228115271.html,"MUST SEE, Large Pool Home. Totally Remodeled","$4,350"
https://orangecounty.craigslist.org/apa/d/dana-point-ride-the-waves-at-your/7228112799.html,Ride The Waves At Your Leasure,"$4,495"
https://orangecounty.craigslist.org/apa/d/laguna-niguel-majestic-pacific-ocean/7228099070.html,Majestic Pacific Ocean Views,"$5,200"
https://orangecounty.craigslist.org/apa/d/santa-ana-private-entrance-cul-de-sac/7225944674.html,"Private entrance, Cul-de-sac location","$1,300"
https://orangecounty.craigslist.org/apa/d/santa-ana-private-entry-cul-de-sac-home/7224298755.html,"Private Entry, Cul-de-sac home","$1,300"
https://orangecounty.craigslist.org/apa/d/laguna-beach-new-executive-home-3bd/7223587246.html,New Executive Home - 3Bd/3.5Ba - 1 Month+,"$15,000"
https://orangecounty.craigslist.org/apa/d/orange-cute-bedroom-15-bathrooms-single/7227968863.html,"Cute 3 bedroom, 1.5 bathrooms, single-family home",$601
https://orangecounty.craigslist.org/apa/d/brea-historic-brea-home-available-now/7214562449.html,Historic Brea Home- Available Now!,"$2,300"
https://orangecounty.craigslist.org/apa/d/lake-forest-lake-forest-irvine-private/7227960776.html,LAKE FOREST/IRVINE--PRIVATE ROOM-FURNISHED-REMODELED,$960
https://orangecounty.craigslist.org/apa/d/anaheim-bedroom-bathrooms-nicely/7223126333.html,3 bedroom 2 bathrooms Nicely remodeled,"$1,160"
https://orangecounty.craigslist.org/apa/d/anaheim-spacious-home-in-anaheim-hills/7225846548.html,Spacious Home in Anaheim Hills (941 S Amherst Cir),"$3,150"
https://orangecounty.craigslist.org/apa/d/los-alamitos-beautifully-refreshed/7217754079.html,Beautifully Refreshed Spacious Home (3601 Thor Ave),"$4,000"
https://orangecounty.craigslist.org/apa/d/garden-grove-house-for-rent-with-cars/7227822640.html,HOUSE FOR RENT WITH 2 CARS GARAGE NEWLY BUILD,"$2,600"
https://orangecounty.craigslist.org/apa/d/tustin-unique-opportunity-to-own-2007/7227807393.html,A unique opportunity to own a 2007 built home in Tustin with no HOA a,"$2,500"
https://orangecounty.craigslist.org/apa/d/garden-grove-large-studio-private/7227773928.html,Large Studio private entrance and bathroom,"$1,800"
https://orangecounty.craigslist.org/apa/d/buena-park-nha-cho-thue-dep-yen-tinh/7227726816.html,"Nha cho Thue - Dep, Yen tinh","$2,800"
https://orangecounty.craigslist.org/apa/d/buena-park-newly-remodel-bed-bath-large/7223112661.html,@@@newly remodel 1 bed/1 bath large family room,"$1,700"
https://orangecounty.craigslist.org/apa/d/san-clemente-san-clemente-house-near/7215821348.html,SAN CLEMENTE HOUSE NEAR PIER BOWL,"$2,900"
https://orangecounty.craigslist.org/apa/d/placentia-for-rent-beautiful-bdrm/7224075454.html,For rent: Beautiful 4 bdrm single story home,"$3,500"
https://orangecounty.craigslist.org/apa/d/laguna-niguel-stunning-single-story/7227678430.html,Stunning Single Story,"$4,500"
https://orangecounty.craigslist.org/apa/d/dana-point-exceptional-opportunity-in/7227673704.html,Exceptional Opportunity In Dana Point,"$3,900"
https://orangecounty.craigslist.org/apa/d/san-juan-capistrano-exceptional/7227673395.html,Exceptional Opportunity In San Juan Capistrano,"$7,500"
https://orangecounty.craigslist.org/apa/d/dana-point-exceptional-opportunity-in/7227672773.html,Exceptional Opportunity In Laguna Niguel,"$6,000"
https://orangecounty.craigslist.org/apa/d/dana-point-dana-point-4br-2ba-remodeled/7227580913.html,Dana Point 4BR 2BA remodeled 2019,"$4,060"
https://orangecounty.craigslist.org/apa/d/cypress-bedroom-bath-house/7227539781.html,3 Bedroom 2 Bath House,"$3,000"
https://orangecounty.craigslist.org/apa/d/anaheim-anaheim-1bd-1ba-guest-house/7225892691.html,Anaheim 1BD/1BA Guest House utilities covered,"$1,500"
https://orangecounty.craigslist.org/apa/d/san-clemente-this-definitely-an/7227487728.html,This definitely an entertaining home,"$6,515"
https://orangecounty.craigslist.org/apa/d/irvine-move-in-ready-home/7227408212.html,Move-in ready home,"$3,665"
https://orangecounty.craigslist.org/apa/d/irvine-come-and-make-this-spacious/7227398704.html,Come and make this spacious house your home.,"$3,115"
https://orangecounty.craigslist.org/apa/d/irvine-bedroom-bath-nicely-remodeled/7225208182.html,3 bedroom 2 bath Nicely remodeled Modernized,"$1,250"
https://orangecounty.craigslist.org/apa/d/surfside-one-to-two-bedroom-apartment/7227296174.html,One to two bedroom apartment wanted,"$1,200"
https://orangecounty.craigslist.org/apa/d/irvine-irvine-woodbury-detached-bed/7215356736.html,"Irvine - Woodbury-*Detached* 1 Bed down, built in BBQ, Huge master bed","$3,800"
https://orangecounty.craigslist.org/apa/d/the-bluffs-remodeled-gourmet-kitchen/7227218313.html,The Bluffs-Remodeled-Gourmet Kitchen,"$6,000"
https://orangecounty.craigslist.org/apa/d/anaheim-buy-home-today-call-today/7227097941.html,Buy a home today. Call today.,"$2,200"
https://orangecounty.craigslist.org/apa/d/anaheim-stop-renting-buy-home-call-today/7227097430.html,Stop renting. Buy a home. Call today.,"$2,200"
https://orangecounty.craigslist.org/apa/d/anaheim-thinking-of-buying-home-call/7227097315.html,Thinking of buying a home? Call today.,"$2,200"
https://orangecounty.craigslist.org/apa/d/anaheim-thinking-of-buying-home-first/7227006374.html,Thinking of buying a home? First time buyers okay. Call today.,"$2,200"
https://orangecounty.craigslist.org/apa/d/costa-mesa-quiet-bd-ba-house-in-mesa/7223555449.html,"A quiet 3 Bd / 2 Ba House in Mesa Verde, remodeled, Solar Panels & AC","$3,800"
https://orangecounty.craigslist.org/apa/d/laguna-niguel-beautiful-huge-home-ready/7226926182.html,Beautiful huge home ready for lease!,"$3,515"
https://orangecounty.craigslist.org/apa/d/trabuco-canyon-secured-place-to-reside/7226921883.html,A secured place to reside.,"$4,015"
https://orangecounty.craigslist.org/apa/d/orange-private-one-bedroom-open-concept/7216445135.html,"Private One-Bedroom Open-Concept ""apartment"" Unit $1650/mo.","$1,650"
https://orangecounty.craigslist.org/apa/d/anaheim-bed-bath-sunkist-anaheim-house/7226816788.html,2 bed 1 bath Sunkist Anaheim house for rent,"$2,100"
https://orangecounty.craigslist.org/apa/d/costa-mesa-mens-sober-living/7215746173.html,Men's Sober Living,$250
https://orangecounty.craigslist.org/apa/d/westminster-nice-cozy-home/7226750486.html,NICE COZY HOME,"$2,800"
https://orangecounty.craigslist.org/apa/d/santa-ana-1br-191ft2-victorian-bedroom/7223077358.html,"1br - 191ft2 - Victorian Bedroom apartment, Spacious, Historic",$962
https://orangecounty.craigslist.org/apa/d/anaheim-large-space-for-carport-walk/7226637142.html,"Large space for carport. walk away to refreshing attractions, best to","$3,230"
https://orangecounty.craigslist.org/apa/d/huntington-beach-beautiful-story-home/7226610131.html,Beautiful 2 Story Home in Highly Desirable Huntington Beach,"$3,795"
https://orangecounty.craigslist.org/apa/d/orange-newly-rennovated-2bed-in-great/7226611954.html,Newly rennovated 2bed in great neighborhood,"$2,750"
https://orangecounty.craigslist.org/apa/d/laguna-beach-165-fairview/7217944319.html,165 FAIRVIEW,"$2,500"
https://orangecounty.craigslist.org/apa/d/santa-ana-335-beverly-place/7226554680.html,335 Beverly Place,"$2,395"
https://orangecounty.craigslist.org/apa/d/newport-beach-beautiful-bedroom/7216681795.html,Beautiful 3 Bedroom 2 Bathroom second floor beachfront home,"$6,000"
https://orangecounty.craigslist.org/apa/d/newport-beach-fantastic-neighborhood/7226423569.html,"Fantastic neighborhood! Great 2 bed, 2 bath, 1200 Sq Ft!","$2,525"
https://orangecounty.craigslist.org/apa/d/newport-beach-beautiful-upgrades-fully/7226426587.html,Beautiful upgrades! Fully renovated 1200 sq ft 2 bed / 2 bath!,"$2,525"
https://orangecounty.craigslist.org/apa/d/tustin-private-bedroom-studio-private/7219906534.html,Private 1 bedroom studio private bath,"$1,250"
https://orangecounty.craigslist.org/apa/d/garden-grove-garden-grove-for-rent/7226233380.html,GARDEN GROVE FOR RENT,$650
https://orangecounty.craigslist.org/apa/d/orange-beautifully-made-home-you-will/7226197025.html,Beautifully made home you will surely love!,"$5,370"
https://orangecounty.craigslist.org/apa/d/newport-beach-need-more-space-schedule/7226144791.html,"Need more space? Schedule a tour of your new 2 bed, 2 bath today!","$2,525"
https://orangecounty.craigslist.org/apa/d/orange-free-private-room-in-exchange/7226171519.html,Free private Room in exchange for work on small ranch,$1
https://orangecounty.craigslist.org/apa/d/newport-beach-check-us-out-great-bd-ba/7226145668.html,Check us out! Great 2 BD / 2 BA by public transportation. 1200 SqFt!,"$2,525"
https://orangecounty.craigslist.org/apa/d/westminster-two-story-home-in/7226030358.html,Two Story Home in Westminster,"$3,750"
https://orangecounty.craigslist.org/apa/d/orange-newly-renovated-cottage-house-in/7226047304.html,Newly Renovated Cottage House in Old Towne Orange,"$2,495"
https://orangecounty.craigslist.org/apa/d/los-alamitos-private-2bd-1ba-triplex/7218119035.html,"Private 2bd 1ba Triplex House w/small yard, carport and Lndry hkup","$2,050"
https://orangecounty.craigslist.org/apa/d/los-alamitos-great-bed-triplex-house/7209402845.html,Great 2 bed triplex House w/yard and hookups,"$2,050"
https://orangecounty.craigslist.org/apa/d/orange-newly-renovated-2br-1ba-cottage/7212916382.html,Newly Renovated 2BR/1BA Cottage House in Old Towne Orange,"$2,495"
https://orangecounty.craigslist.org/apa/d/anaheim-bedroom-25-bath-spectacular/7225913156.html,"3 Bedroom, 2.5 Bath Spectacular Home . Walk to DL!","$2,700"
https://orangecounty.craigslist.org/apa/d/irvine-private-bedroom-for-rent/7223761462.html,Private Bedroom for Rent - Utilities included - Irvine,$920
https://orangecounty.craigslist.org/apa/d/irvine-private-large-bedroom-for-rent/7223761175.html,Private Large Bedroom for Rent - Utilities included,$950
https://orangecounty.craigslist.org/apa/d/newport-beach-fraud-3br-house-bedrooms/7225711194.html,"FRAUD-3br-House, 3 Bedrooms, 2.5 Baths All Utilities Included/Garage",$0
https://orangecounty.craigslist.org/apa/d/san-juan-capistrano-private-one-bedroom/7225686975.html,"Private, One Bedroom ‘Studio Apartment’ in home $1600/month","$1,600"
https://orangecounty.craigslist.org/apa/d/fourchu-beautiful-rear-house-2bd-1ba/7225623503.html,"Beautiful Rear House 2bd 1ba patio, 1 car garage","$2,350"
https://orangecounty.craigslist.org/apa/d/los-alamitos-great-private-middle-house/7225624353.html,"Great private middle house w/yard, lndry hkups and carport","$2,050"
